,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Noise(dB)_Range,Power_Consumption(kWh),Power_Range(kWh),Refrigerant,Wi_Fi Enabled,Product_Warranty(Years),PCB_Warranty(Years),Compressor_Warranty(Years),Condenser_Warranty(Years),ODU_Casing_Warranty(Years),Ratings_Count,Reviews_Count,Avg_star,Avg_star_Range,Offer_Price(₹),Offer_Price_Range(₹),Actual_Price(₹),Act_Price_Range(₹),Discount(%),Merged,Types
186,Blue Star,2.0,3,Window,White,Copper,57.0,"(55, 60]",3226.0,"(3000,3500]",R32A,No,1,1,5,1,1,25.0,4.0,4.1,"(4.0,4.5]",40150.0,"(40000,45000]",47500.0,"(45000,50000]",15.0,Blue Star 2.0 Ton 3.0 Star,Window
187,Godrej,1.0,5,Split Inverter,White,Copper,40.0,"(35, 40]",978.0,"(500,1000]",R32,No,1,1,10,1,1,30.0,2.0,4.2,"(4.0,4.5]",34499.0,"(30000,35000]",50000.0,"(45000,50000]",31.0,Godrej 1.0 Ton 5.0 Star,Split
188,Panasonic,1.5,5,Split Inverter,White,Copper,47.0,"(45, 50]",2304.0,"(2000,2500]",R32,Yes,1,4,9,1,4,122.0,25.0,4.3,"(4.0,4.5]",51850.0,"(50000,55000]",69900.0,"(65000,70000]",26.0,Panasonic 1.5 Ton 5.0 Star,Split
189,Blue Star,1.5,4,Window Inverter,White,Copper,55.0,"(50, 55]",2688.0,"(2500,3000]",R32A,No,1,1,5,1,1,3.0,0.0,3.7,"(3.5,4.0]",36800.0,"(35000,40000]",45000.0,"(40000,45000]",18.0,Blue Star 1.5 Ton 4.0 Star,Window
190,Daikin,1.5,3,Split Inverter,White,Copper,54.0,"(50, 55]",2664.0,"(2500,3000]",R32,No,1,1,1,1,1,459.0,43.0,4.3,"(4.0,4.5]",37999.0,"(35000,40000]",45000.0,"(40000,45000]",16.0,Daikin 1.5 Ton 3.0 Star,Split
191,Hitachi,1.5,3,Split,"Gold, Whitee",Copper,39.0,"(35, 40]",2392.0,"(2000,2500]",R32A,No,1,1,5,1,1,254.0,28.0,3.9,"(3.5,4.0]",33490.0,"(30000,35000]",47690.0,"(45000,50000]",30.0,Hitachi 1.5 Ton 3.0 Star,Split
192,Croma,1.0,3,Split Inverter,White,Copper,44.0,"(40, 45]",1712.0,"(1500,2000]",R32,No,1,1,10,5,1,0.0,0.0,0.0,"(-0.5,0.0]",28990.0,"(25000,30000]",38000.0,"(35000,40000]",24.0,Croma 1.0 Ton 3.0 Star,Split
193,Voltas,1.0,3,Split,White,Copper,45.0,"(40, 45]",1568.0,"(1500,2000]",R32,No,1,1,5,1,1,4.0,0.0,4.5,"(4.0,4.5]",31990.0,"(30000,35000]",44753.0,"(40000,45000]",29.0,Voltas 1.0 Ton 3.0 Star,Split
194,Lg,1.0,5,Split Dual Inverter,White,Copper,21.0,"(20, 25]",572.0,"(500,1000]",R32A,Yes,1,5,10,1,1,4.0,0.0,4.3,"(4.0,4.5]",38350.0,"(35000,40000]",64990.0,"(60000,65000]",41.0,Lg 1.0 Ton 5.0 Star,Split
195,Panasonic,1.5,5,Window,White,Copper,56.0,"(55, 60]",1870.0,"(1500,2000]",R32,No,1,1,4,1,1,0.0,0.0,0.0,"(-0.5,0.0]",34880.0,"(30000,35000]",44490.0,"(40000,45000]",22.0,Panasonic 1.5 Ton 5.0 Star,Window
196,Godrej,1.5,5,Split Inverter,White,Copper,34.0,"(30, 35]",1385.0,"(1000,1500]",R32A,No,1,1,10,1,1,1178.0,150.0,4.3,"(4.0,4.5]",39999.0,"(35000,40000]",54900.0,"(50000,55000]",27.0,Godrej 1.5 Ton 5.0 Star,Split
197,Hitachi,1.5,3,Split Inverter,White,Copper,36.0,"(35, 40]",1099.0,"(1000,1500]",R32A,No,1,1,10,1,1,6.0,0.0,4.0,"(3.5,4.0]",41990.0,"(40000,45000]",57990.0,"(55000,60000]",28.0,Hitachi 1.5 Ton 3.0 Star,Split
198,Godrej,1.5,3,Split Inverter,White,Copper,42.0,"(40, 45]",2856.0,"(2500,3000]",R32,No,1,1,10,1,1,3.0,0.0,4.3,"(4.0,4.5]",33999.0,"(30000,35000]",54900.0,"(50000,55000]",38.0,Godrej 1.5 Ton 3.0 Star,Split
199,Whirlpool,1.5,3,Split,White,Copper,35.0,"(30, 35]",2656.0,"(2500,3000]",R32A,No,1,1,5,1,1,695.0,76.0,4.2,"(4.0,4.5]",33599.0,"(30000,35000]",41300.0,"(40000,45000]",19.0,Whirlpool 1.5 Ton 3.0 Star,Split
200,Blue Star,1.5,3,Split,White,Copper,47.0,"(45, 50]",2816.0,"(2500,3000]",R32A,No,1,1,5,1,1,30.0,0.0,4.0,"(3.5,4.0]",36399.0,"(35000,40000]",48500.0,"(45000,50000]",25.0,Blue Star 1.5 Ton 3.0 Star,Split
201,Blue Star,1.5,5,Window,White,Copper,56.0,"(55, 60]",1867.0,"(1500,2000]",R32A,No,1,1,5,1,1,15.0,2.0,4.2,"(4.0,4.5]",32900.0,"(30000,35000]",37500.0,"(35000,40000]",12.0,Blue Star 1.5 Ton 5.0 Star,Window
202,Nokia,1.0,3,Split Inverter,White,Copper,38.0,"(35, 40]",685.0,"(500,1000]",R32,No,1,1,5,1,1,208.0,30.0,4.2,"(4.0,4.5]",26999.0,"(25000,30000]",46199.0,"(45000,50000]",42.0,Nokia 1.0 Ton 3.0 Star,Split
203,Hitachi,1.5,5,Window,White,Copper,50.0,"(45, 50]",2520.0,"(2500,3000]",R32A,No,1,1,5,1,1,2088.0,249.0,4.2,"(4.0,4.5]",33999.0,"(30000,35000]",34790.0,"(30000,35000]",2.0,Hitachi 1.5 Ton 5.0 Star,Window
204,Lloyd,1.5,3,Split Inverter,White,Copper,57.0,"(55, 60]",2304.0,"(2000,2500]",R32,No,1,1,5,1,1,14.0,1.0,4.3,"(4.0,4.5]",35999.0,"(35000,40000]",70990.0,"(70000,75000]",49.0,Lloyd 1.5 Ton 3.0 Star,Split
205,Godrej,1.5,3,Split Inverter,White,Copper,60.0,"(55, 60]",2944.0,"(2500,3000]",R32,No,1,1,5,1,1,109.0,13.0,4.3,"(4.0,4.5]",32490.0,"(30000,35000]",61900.0,"(60000,65000]",48.0,Godrej 1.5 Ton 3.0 Star,Split
206,Samsung,1.5,5,Split Inverter,White,Copper,49.0,"(45, 50]",2208.0,"(2000,2500]",R32,Yes,1,1,1,1,1,62.0,10.0,4.2,"(4.0,4.5]",41490.0,"(40000,45000]",67990.0,"(65000,70000]",39.0,Samsung 1.5 Ton 5.0 Star,Split
207,Voltas,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",2620.0,"(2500,3000]",R32,No,1,1,5,1,1,4.0,0.0,3.4,"(3.0,3.5]",35999.0,"(35000,40000]",61990.0,"(60000,65000]",42.0,Voltas 1.5 Ton 3.0 Star,Split
208,Blue Star,1.0,3,Split Inverter,"Silver, Whitee",Copper,50.0,"(45, 50]",1795.0,"(1500,2000]",R32A,No,1,1,10,1,1,53.0,5.0,4.4,"(4.0,4.5]",34500.0,"(30000,35000]",45000.0,"(40000,45000]",23.0,Blue Star 1.0 Ton 3.0 Star,Split
209,Panasonic,1.0,5,Split Inverter,White,Copper,43.0,"(40, 45]",589.0,"(500,1000]",R32,No,1,1,1,1,1,7.0,1.0,4.9,"(4.5,5.0]",35900.0,"(35000,40000]",48500.0,"(45000,50000]",26.0,Panasonic 1.0 Ton 5.0 Star,Split
210,Panasonic,1.5,5,Split Inverter,White,Copper,45.0,"(40, 45]",2160.0,"(2000,2500]",R32,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",36990.0,"(35000,40000]",57990.0,"(55000,60000]",36.0,Panasonic 1.5 Ton 5.0 Star,Split
211,Lg,1.5,3,Split Dual Inverter,White,Copper,31.0,"(30, 35]",2560.0,"(2500,3000]",R32,No,1,1,10,1,1,4.0,0.0,3.8,"(3.5,4.0]",37990.0,"(35000,40000]",68990.0,"(65000,70000]",45.0,Lg 1.5 Ton 3.0 Star,Split
212,Lloyd,1.5,3,Split Expandable,White,Copper,42.0,"(40, 45]",1119.0,"(1000,1500]",R32,No,1,1,5,1,1,788.0,68.0,4.1,"(4.0,4.5]",32000.0,"(30000,35000]",52990.0,"(50000,55000]",40.0,Lloyd 1.5 Ton 3.0 Star,Split
213,Panasonic,1.5,4,Split Inverter,White,Copper,38.0,"(35, 40]",1796.0,"(1500,2000]",R32,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",40989.0,"(40000,45000]",55000.0,"(50000,55000]",25.0,Panasonic 1.5 Ton 4.0 Star,Split
214,Blue Star,1.0,3,Split Inverter,White,Copper,44.0,"(40, 45]",1696.0,"(1500,2000]",R35,No,1,1,1,1,1,219.0,20.0,3.8,"(3.5,4.0]",34490.0,"(30000,35000]",53990.0,"(50000,55000]",36.0,Blue Star 1.0 Ton 3.0 Star,Split
215,Whirlpool,1.0,3,Split Inverter,White,Copper,37.0,"(35, 40]",1214.0,"(1000,1500]",R32,No,1,1,5,1,1,9.0,0.0,4.6,"(4.5,5.0]",29990.0,"(25000,30000]",46950.0,"(45000,50000]",36.0,Whirlpool 1.0 Ton 3.0 Star,Split
216,Godrej,1.5,3,Split Inverter,White,Copper,32.0,"(30, 35]",1806.0,"(1500,2000]",R32A,No,1,1,10,1,1,425.0,59.0,4.3,"(4.0,4.5]",33399.0,"(30000,35000]",48900.0,"(45000,50000]",32.0,Godrej 1.5 Ton 3.0 Star,Split
217,Samsung,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",2720.0,"(2500,3000]",R32,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",35490.0,"(35000,40000]",57990.0,"(55000,60000]",39.0,Samsung 1.5 Ton 3.0 Star,Split
218,Samsung,1.5,3,Split,White,Copper,42.0,"(40, 45]",2976.0,"(2500,3000]",R32,No,1,1,5,1,1,16.0,3.0,4.5,"(4.0,4.5]",34890.0,"(30000,35000]",45000.0,"(40000,45000]",22.0,Samsung 1.5 Ton 3.0 Star,Split
219,Panasonic,1.5,3,Split,White,Copper,47.0,"(45, 50]",1625.0,"(1500,2000]",R32,No,1,5,5,1,1,10.0,0.0,0.0,"(-0.5,0.0]",35999.0,"(35000,40000]",53000.0,"(50000,55000]",32.0,Panasonic 1.5 Ton 3.0 Star,Split
220,Lloyd,1.0,3,Split,White,Copper,38.0,"(35, 40]",2312.0,"(2000,2500]",R32,No,1,1,1,1,1,32.0,3.0,4.3,"(4.0,4.5]",29790.0,"(25000,30000]",41990.0,"(40000,45000]",29.0,Lloyd 1.0 Ton 3.0 Star,Split
221,Blue Star,1.5,3,Split,White,Copper,34.0,"(30, 35]",2330.0,"(2000,2500]",R32A,No,1,1,5,1,1,3.0,0.0,0.0,"(-0.5,0.0]",40762.0,"(40000,45000]",52750.0,"(50000,55000]",23.0,Blue Star 1.5 Ton 3.0 Star,Split
222,Croma,1.5,3,Window,White,Copper,54.0,"(50, 55]",2544.0,"(2500,3000]",R32,No,1,1,5,5,1,3.0,1.0,1.7,"(1.5,2.0]",27490.0,"(25000,30000]",36000.0,"(35000,40000]",24.0,Croma 1.5 Ton 3.0 Star,Window
223,Samsung,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",2496.0,"(2000,2500]",R32,Yes,5,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",39900.0,"(35000,40000]",63990.0,"(60000,65000]",38.0,Samsung 1.5 Ton 3.0 Star,Split
224,Haier,1.5,3,Split Inverter,White,Copper,41.0,"(40, 45]",1089.0,"(1000,1500]",R32,No,1,1,12,1,1,5.0,1.0,0.0,"(-0.5,0.0]",35490.0,"(35000,40000]",59500.0,"(55000,60000]",40.0,Haier 1.5 Ton 3.0 Star,Split
225,Panasonic,1.0,3,Split Inverter,White,Copper,38.0,"(35, 40]",1464.0,"(1000,1500]",R32,Yes,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",33490.0,"(30000,35000]",51990.0,"(50000,55000]",36.0,Panasonic 1.0 Ton 3.0 Star,Split
226,Daikin,1.5,4,Split Inverter,White,Copper,32.0,"(30, 35]",2672.0,"(2500,3000]",R32,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",40990.0,"(40000,45000]",58400.0,"(55000,60000]",30.0,Daikin 1.5 Ton 4.0 Star,Split
227,Croma,1.5,3,Split,White,Copper,52.0,"(50, 55]",2272.0,"(2000,2500]",R32,No,1,1,5,1,1,38.0,8.0,3.8,"(3.5,4.0]",30990.0,"(30000,35000]",42000.0,"(40000,45000]",26.0,Croma 1.5 Ton 3.0 Star,Split
228,Motorola,1.5,3,Split Dual Inverter Smart,Silver,Copper,30.0,"(25, 30]",1762.0,"(1500,2000]",R32A,Yes,1,1,1,1,1,1165.0,177.0,4.3,"(4.0,4.5]",32990.0,"(30000,35000]",49299.0,"(45000,50000]",33.0,Motorola 1.5 Ton 3.0 Star,Split
229,Lloyd,1.5,3,Window,White,Copper,52.0,"(50, 55]",2682.0,"(2500,3000]",R221,No,1,1,5,1,1,212.0,30.0,4.2,"(4.0,4.5]",28899.0,"(25000,30000]",30000.0,"(25000,30000]",4.0,Lloyd 1.5 Ton 3.0 Star,Window
230,Lloyd,2.0,3,Split Inverter,White,Copper,59.0,"(55, 60]",3472.0,"(3000,3500]",R32,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",48900.0,"(45000,50000]",73990.0,"(70000,75000]",34.0,Lloyd 2.0 Ton 3.0 Star,Split
231,Lloyd,1.5,5,Split Inverter,White,Copper,42.0,"(40, 45]",865.0,"(500,1000]",R32,No,1,1,1,1,1,20.0,1.0,4.3,"(4.0,4.5]",41900.0,"(40000,45000]",60990.0,"(60000,65000]",31.0,Lloyd 1.5 Ton 5.0 Star,Split
232,Daikin,1.5,4,Split Inverter,White,Copper,32.0,"(30, 35]",2560.0,"(2500,3000]",R32,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",44690.0,"(40000,45000]",61500.0,"(60000,65000]",27.0,Daikin 1.5 Ton 4.0 Star,Split
233,Panasonic,1.5,5,Split Inverter,White,Copper,38.0,"(35, 40]",2656.0,"(2500,3000]",R32,Yes,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",46899.0,"(45000,50000]",66900.0,"(65000,70000]",30.0,Panasonic 1.5 Ton 5.0 Star,Split
234,Lg,2.0,3,Split Dual Inverter,White,Copper,34.0,"(30, 35]",3344.0,"(3000,3500]",R32,No,1,5,10,1,1,79.0,5.0,4.5,"(4.0,4.5]",48990.0,"(45000,50000]",63990.0,"(60000,65000]",23.0,Lg 2.0 Ton 3.0 Star,Split
235,Samsung,1.0,5,Split Inverter,White,Copper,35.0,"(30, 35]",1216.0,"(1000,1500]",R32,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",36990.0,"(35000,40000]",55990.0,"(55000,60000]",34.0,Samsung 1.0 Ton 5.0 Star,Split
236,Croma,1.5,3,Split,White,Copper,49.0,"(45, 50]",2288.0,"(2000,2500]",R32,No,1,1,5,5,1,38.0,8.0,0.0,"(-0.5,0.0]",32990.0,"(30000,35000]",40000.0,"(35000,40000]",18.0,Croma 1.5 Ton 3.0 Star,Split
237,Marq,1.5,5,Window,White,Copper,60.0,"(55, 60]",2432.0,"(2000,2500]",R32,No,1,1,5,1,1,1333.0,189.0,4.2,"(4.0,4.5]",25499.0,"(25000,30000]",31999.0,"(30000,35000]",20.0,Marq 1.5 Ton 5.0 Star,Window
238,Samsung,1.5,5,Split Inverter,White,Copper,35.0,"(30, 35]",1984.0,"(1500,2000]",R32,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",46564.0,"(45000,50000]",65990.0,"(65000,70000]",29.0,Samsung 1.5 Ton 5.0 Star,Split
239,Samsung,1.5,3,Split Inverter,"White, Blue",Copper,31.0,"(30, 35]",2720.0,"(2500,3000]",R32,No,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",35999.0,"(35000,40000]",57990.0,"(55000,60000]",38.0,Samsung 1.5 Ton 3.0 Star,Split
240,Blue Star,1.5,3,Split Inverter,White,Copper,46.0,"(45, 50]",2661.0,"(2500,3000]",R32A,No,1,1,1,1,1,9.0,0.0,4.0,"(3.5,4.0]",36900.0,"(35000,40000]",54500.0,"(50000,55000]",32.0,Blue Star 1.5 Ton 3.0 Star,Split
241,Marq,1.0,3,Split Inverter,White,Copper,32.0,"(30, 35]",1776.0,"(1500,2000]",R32,No,1,1,5,1,1,13756.0,1947.0,4.3,"(4.0,4.5]",22490.0,"(20000,25000]",39999.0,"(35000,40000]",44.0,Marq 1.0 Ton 3.0 Star,Split
242,Haier,1.5,4,Split Inverter,White,Copper,59.0,"(55, 60]",2608.0,"(2500,3000]",R32,No,1,1,12,1,1,5.0,1.0,0.0,"(-0.5,0.0]",35499.0,"(35000,40000]",62000.0,"(60000,65000]",43.0,Haier 1.5 Ton 4.0 Star,Split
243,Voltas,1.5,5,Split Inverter,"White, Black",Copper,45.0,"(40, 45]",2288.0,"(2000,2500]",R32A,No,1,1,5,1,1,316.0,35.0,4.1,"(4.0,4.5]",39100.0,"(35000,40000]",69990.0,"(65000,70000]",44.0,Voltas 1.5 Ton 5.0 Star,Split
244,Marq,1.0,3,Split Inverter,White,Copper,44.0,"(40, 45]",1912.0,"(1500,2000]",R32,No,1,1,5,1,1,4401.0,520.0,4.2,"(4.0,4.5]",24990.0,"(20000,25000]",39999.0,"(35000,40000]",38.0,Marq 1.0 Ton 3.0 Star,Split
245,Blue Star,1.5,3,Split,White,Copper,34.0,"(30, 35]",2330.0,"(2000,2500]",R32A,No,1,1,5,1,1,3.0,0.0,0.0,"(-0.5,0.0]",37990.0,"(35000,40000]",52500.0,"(50000,55000]",28.0,Blue Star 1.5 Ton 3.0 Star,Split
246,Lloyd,1.5,5,Window Inverter,White,Copper,53.0,"(50, 55]",1150.0,"(1000,1500]",R32,No,1,1,5,1,1,5.0,0.0,3.6,"(3.5,4.0]",36790.0,"(35000,40000]",47990.0,"(45000,50000]",23.0,Lloyd 1.5 Ton 5.0 Star,Window
247,Samsung,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",2496.0,"(2000,2500]",R32,Yes,5,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",39390.0,"(35000,40000]",63990.0,"(60000,65000]",38.0,Samsung 1.5 Ton 3.0 Star,Split
248,Blue Star,1.5,5,Split Inverter,"White, Brown",Copper,46.0,"(45, 50]",2320.0,"(2000,2500]",R32,No,1,1,10,1,1,231.0,40.0,4.4,"(4.0,4.5]",48000.0,"(45000,50000]",63000.0,"(60000,65000]",24.0,Blue Star 1.5 Ton 5.0 Star,Split
249,Panasonic,1.0,4,Split Inverter,White,Copper,38.0,"(35, 40]",1464.0,"(1000,1500]",R32,Yes,1,1,10,1,1,3.0,0.0,0.0,"(-0.5,0.0]",37249.0,"(35000,40000]",53400.0,"(50000,55000]",30.0,Panasonic 1.0 Ton 4.0 Star,Split
250,Lg,1.0,3,Split Dual Inverter,"White, Maroon",Copper,21.0,"(20, 25]",1728.0,"(1500,2000]",R32,No,1,5,10,1,1,240.0,37.0,4.3,"(4.0,4.5]",35490.0,"(35000,40000]",47990.0,"(45000,50000]",26.0,Lg 1.0 Ton 3.0 Star,Split
251,Haier,1.0,3,Split Inverter,White,Copper,26.0,"(25, 30]",1171.0,"(1000,1500]",R32A,No,1,1,12,1,1,5.0,1.0,0.0,"(-0.5,0.0]",32990.0,"(30000,35000]",59490.0,"(55000,60000]",45.0,Haier 1.0 Ton 3.0 Star,Split
252,Whirlpool,1.5,3,Split Inverter,White,Copper,35.0,"(30, 35]",2656.0,"(2500,3000]",R32A,No,1,1,10,1,1,131.0,22.0,4.0,"(3.5,4.0]",32899.0,"(30000,35000]",53950.0,"(50000,55000]",39.0,Whirlpool 1.5 Ton 3.0 Star,Split
253,Lloyd,1.5,5,Split Inverter,White,Copper,42.0,"(40, 45]",2192.0,"(2000,2500]",R32,No,1,1,1,1,1,456.0,52.0,4.2,"(4.0,4.5]",42900.0,"(40000,45000]",60990.0,"(60000,65000]",30.0,Lloyd 1.5 Ton 5.0 Star,Split
254,Lg,1.5,5,Split Dual Inverter,White,Copper,31.0,"(30, 35]",819.0,"(500,1000]",R32A,Yes,1,5,10,1,1,4.0,0.0,3.5,"(3.0,3.5]",50990.0,"(50000,55000]",79990.0,"(75000,80000]",36.0,Lg 1.5 Ton 5.0 Star,Split
255,Samsung,1.0,3,Split Inverter,White,Aluminium,48.0,"(45, 50]",1696.0,"(1500,2000]",R32,No,5,1,10,5,1,33.0,3.0,4.4,"(4.0,4.5]",39490.0,"(35000,40000]",39800.0,"(35000,40000]",1.0,Samsung 1.0 Ton 3.0 Star,Split
256,Whirlpool,1.5,3,Split Inverter,"White, Grey",Copper,37.0,"(35, 40]",3024.0,"(3000,3500]",R32A,No,1,1,10,1,1,734.0,114.0,4.2,"(4.0,4.5]",34990.0,"(30000,35000]",52300.0,"(50000,55000]",33.0,Whirlpool 1.5 Ton 3.0 Star,Split
257,Daikin,1.0,3,Split,White,Copper,51.0,"(50, 55]",1357.0,"(1000,1500]",R32,No,1,1,5,1,1,152.0,20.0,4.2,"(4.0,4.5]",36990.0,"(35000,40000]",39000.0,"(35000,40000]",5.0,Daikin 1.0 Ton 3.0 Star,Split
258,Samsung,1.0,5,Split Inverter,White,Aluminium,49.0,"(45, 50]",1472.0,"(1000,1500]",R32,No,5,1,10,5,1,26.0,4.0,4.2,"(4.0,4.5]",46490.0,"(45000,50000]",47670.0,"(45000,50000]",2.0,Samsung 1.0 Ton 5.0 Star,Split
259,Blue Star,1.5,3,Split Inverter,White,Copper,44.0,"(40, 45]",2560.0,"(2500,3000]",R32,No,1,1,10,1,1,3.0,0.0,5.0,"(4.5,5.0]",38990.0,"(35000,40000]",62000.0,"(60000,65000]",37.0,Blue Star 1.5 Ton 3.0 Star,Split
260,Toshiba,1.5,3,Split,White,Copper,41.0,"(40, 45]",2880.0,"(2500,3000]",R32,No,1,1,5,1,1,16.0,4.0,4.4,"(4.0,4.5]",35000.0,"(30000,35000]",45100.0,"(45000,50000]",22.0,Toshiba 1.5 Ton 3.0 Star,Split
261,Daikin,1.0,4,Split Inverter,White,Copper,27.0,"(25, 30]",1920.0,"(1500,2000]",R32,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",34613.0,"(30000,35000]",48200.0,"(45000,50000]",28.0,Daikin 1.0 Ton 4.0 Star,Split
262,Tcl,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",2864.0,"(2500,3000]",R32A,No,1,1,10,1,1,427.0,68.0,4.3,"(4.0,4.5]",27999.0,"(25000,30000]",44990.0,"(40000,45000]",38.0,Tcl 1.5 Ton 3.0 Star,Split
263,Hitachi,1.5,5,Split Inverter,"White, Gold",Copper,37.0,"(35, 40]",898.0,"(500,1000]",R32A,No,1,1,10,1,1,1672.0,175.0,4.0,"(3.5,4.0]",41999.0,"(40000,45000]",66600.0,"(65000,70000]",37.0,Hitachi 1.5 Ton 5.0 Star,Split
264,Daikin,1.8,4,Split Inverter,White,Copper,32.0,"(30, 35]",3120.0,"(3000,3500]",R32,No,1,1,10,1,1,5.0,0.0,0.0,"(-0.5,0.0]",50990.0,"(50000,55000]",73000.0,"(70000,75000]",30.0,Daikin 1.8 Ton 4.0 Star,Split
265,Whirlpool,1.5,3,Split Inverter,White,Copper,45.0,"(40, 45]",1647.0,"(1500,2000]",R32,No,1,1,10,1,1,2048.0,290.0,4.2,"(4.0,4.5]",33490.0,"(30000,35000]",62200.0,"(60000,65000]",46.0,Whirlpool 1.5 Ton 3.0 Star,Split
266,Panasonic,1.5,5,Split Inverter,White,Copper,47.0,"(45, 50]",1357.0,"(1000,1500]",R32,Yes,1,4,9,1,1,122.0,25.0,4.3,"(4.0,4.5]",49990.0,"(45000,50000]",66000.0,"(65000,70000]",24.0,Panasonic 1.5 Ton 5.0 Star,Split
267,Croma,1.4,3,Split Inverter,White,Copper,52.0,"(50, 55]",2600.0,"(2500,3000]",R32,No,1,1,10,5,1,0.0,0.0,0.0,"(-0.5,0.0]",31990.0,"(30000,35000]",45000.0,"(40000,45000]",29.0,Croma 1.4 Ton 3.0 Star,Split
268,Carrier,2.0,3,Window,White,Copper,55.0,"(50, 55]",3080.0,"(3000,3500]",R32,No,1,1,5,1,1,15.0,0.0,3.7,"(3.5,4.0]",38990.0,"(35000,40000]",39990.0,"(35000,40000]",3.0,Carrier 2.0 Ton 3.0 Star,Window
269,Blue Star,1.5,3,Split Inverter,White,Copper,62.0,"(60, 65]",1561.0,"(1500,2000]",R32A,No,1,1,1,1,1,1440.0,182.0,4.2,"(4.0,4.5]",38990.0,"(35000,40000]",55990.0,"(55000,60000]",30.0,Blue Star 1.5 Ton 3.0 Star,Split
270,Hitachi,1.5,3,Split Expandable,White,Copper,42.0,"(40, 45]",2360.0,"(2000,2500]",R32A,No,1,1,5,1,1,4.0,0.0,3.8,"(3.5,4.0]",35999.0,"(35000,40000]",47690.0,"(45000,50000]",25.0,Hitachi 1.5 Ton 3.0 Star,Split
271,Midea,1.5,3,Split Inverter,White,Copper,42.0,"(40, 45]",2880.0,"(2500,3000]",R410A,No,1,1,10,1,1,8216.0,1203.0,4.3,"(4.0,4.5]",28990.0,"(25000,30000]",52500.0,"(50000,55000]",45.0,Midea 1.5 Ton 3.0 Star,Split
272,Daikin,1.0,5,Split Inverter,White,Copper,35.0,"(30, 35]",1504.0,"(1500,2000]",R32,No,1,1,5,1,1,5.0,0.0,0.0,"(-0.5,0.0]",36990.0,"(35000,40000]",46100.0,"(45000,50000]",20.0,Daikin 1.0 Ton 5.0 Star,Split
273,Croma,1.0,5,Split Inverter,White,Copper,44.0,"(40, 45]",1528.0,"(1500,2000]",R32,No,1,1,10,1,1,0.0,0.0,0.0,"(-0.5,0.0]",33490.0,"(30000,35000]",40000.0,"(35000,40000]",16.0,Croma 1.0 Ton 5.0 Star,Split
274,Onida,1.5,3,Split Dual Inverter,White,Copper,51.0,"(50, 55]",2912.0,"(2500,3000]",R32A,No,1,1,5,1,1,32.0,3.0,4.6,"(4.5,5.0]",31499.0,"(30000,35000]",53490.0,"(50000,55000]",41.0,Onida 1.5 Ton 3.0 Star,Split
275,Ifb,1.0,3,Split Inverter,White,Copper,30.0,"(25, 30]",732.0,"(500,1000]",R32A,No,1,5,1,1,1,1889.0,305.0,4.4,"(4.0,4.5]",32890.0,"(30000,35000]",42190.0,"(40000,45000]",22.0,Ifb 1.0 Ton 3.0 Star,Split
276,Panasonic,1.5,5,Split Inverter,White,Copper,48.0,"(45, 50]",2160.0,"(2000,2500]",R32A,No,1,1,10,1,1,152.0,22.0,4.5,"(4.0,4.5]",47000.0,"(45000,50000]",57500.0,"(55000,60000]",18.0,Panasonic 1.5 Ton 5.0 Star,Split
277,Panasonic,2.0,3,Split,White,Copper,50.0,"(45, 50]",2736.0,"(2500,3000]",R22A,No,1,1,1,1,1,10.0,0.0,3.6,"(3.5,4.0]",47500.0,"(45000,50000]",59100.0,"(55000,60000]",20.0,Panasonic 2.0 Ton 3.0 Star,Split
278,Panasonic,1.5,5,Split Inverter,White,Copper,46.0,"(45, 50]",841.0,"(500,1000]",R32,No,1,5,10,1,1,4.0,0.0,4.8,"(4.5,5.0]",38690.0,"(35000,40000]",57000.0,"(55000,60000]",32.0,Panasonic 1.5 Ton 5.0 Star,Split
279,Voltas,1.0,3,Split,White,Copper,46.0,"(45, 50]",1603.0,"(1500,2000]",R22A,No,1,1,1,1,1,447.0,45.0,4.1,"(4.0,4.5]",33990.0,"(30000,35000]",41690.0,"(40000,45000]",18.0,Voltas 1.0 Ton 3.0 Star,Split
